country,users,population,rank,percentage
China,765367947,1409517397,1,0.543
India,461347554,1339180127,2,0.3445
United States,244090854,324459463,3,0.7523
Brazil,141206801,209288278,4,0.6747
Japan,115845120,127484450,5,0.9087
Russia,109446612,143989754,6,0.7601
Indonesia,85242816,263991379,7,0.3229
Mexico,82470752,129163276,8,0.6385
Germany,69304405,82114224,9,0.844
Philippines,63003313,104918090,10,0.6005
United Kingdom,62621016,66181585,11,0.9462
Pakistan,61837331,220800300,25,0.3068
France,52308536,64979548,13,0.805
Turkey,52225879,80745020,14,0.6468
Iran,49038556,81162788,15,0.6042
South Korea,48484084,50982212,16,0.951
Vietnam,47359575,95540800,17,0.4957
Egypt,43850141,97553151,18,0.4495
Spain,39215756,46354321,19,0.846
Thailand,36513941,69037513,20,0.5289
Italy,36387619,59359900,21,0.613
Canada,33950632,36624199,22,0.927
Argentina,33561876,44271041,23,0.7581
South Africa,31858027,56717156,24,0.5617
Nigeria,30557175,190015955,12,0.2751
Colombia,30548252,49065615,26,0.6226
Bangladesh,30530435,164669751,27,0.1802
Poland,29005924,38170712,28,0.7599
Saudi Arabia,27048861,32938213,29,0.8212
Malaysia,25343685,31624264,30,0.8014
Ukraine,25260147,44222947,31,0.5712
Morocco,22072765,35739580,32,0.6176
Taiwan,21920626,23626456,33,0.9278
Australia,21159515,24450561,34,0.8654
Venezuela,20564451,31977065,35,0.6431
Algeria,19704622,41318142,36,0.4769
Ethiopia,19543075,104957438,37,0.1862
Iraq,18892351,38274618,38,0.4936
Uzbekistan,16692456,31910641,39,0.5231
Myanmar,16374103,53370609,40,0.3068
Netherlands,15877494,17035938,41,0.932
Peru,15674241,32165485,42,0.4873
Chile,14864456,18054726,43,0.8233
Kazakhstan,13913699,18204499,44,0.7643
Romania,12545558,19679306,45,0.6375
Sudan,12512639,40533330,46,0.3087
Ghana,10922179,28833629,47,0.3788
Ivory Coast,10650818,24294750,48,0.4384
Uganda,10162807,42862958,49,0.2371
Belgium,10021242,11429336,50,0.8768
Sweden,9554907,9910701,51,0.9641
Ecuador,9521056,16624858,52,0.5727
Tanzania,9169603,57310019,53,0.16
United Arab Emirates,8913217,9400145,54,0.9482
Kenya,8861485,49699862,55,0.1783
Czech Republic,8358728,10618303,56,0.7872
Switzerland,7942864,8476005,57,0.9371
Greece,7799565,11159773,58,0.6989
Azerbaijan,7763795,9827589,59,0.79
Austria,7681957,8735453,60,0.8794
Portugal,7622142,10329506,61,0.7379
Yemen,7548512,28250420,62,0.2672
Hungary,7461297,9721559,63,0.7675
Sri Lanka,7121116,20876917,64,0.3411
Belarus,7048231,9468338,65,0.7444
Democratic Republic of the Congo,7011507,81339988,66,0.0862
Dominican Republic,6997472,10766998,67,0.6499
Guatemala,6883796,16913503,68,0.407
Israel,6788737,8321570,69,0.8158
Hong Kong,6585678,7364883,70,0.8942
Jordan,6480202,9702353,71,0.6679
Tunisia,6400330,11532127,72,0.555
Nepal,6271270,29304998,73,0.214
Syria,6257430,18269868,74,0.3425
Serbia,6182411,8790574,75,0.7033
Mozambique,6162217,29668834,76,0.2077
Cuba,5638956,11484636,77,0.491
Cameroon,5580465,24053727,78,0.232
Denmark,5567278,5733551,79,0.971
Cambodia,5441827,16005373,80,0.34
Norway,5120225,5305383,81,0.9651
Bolivia,4843916,11051600,82,0.4383
Finland,4831170,5523231,83,0.8747
Singapore,4821119,5708844,84,0.8445
Zambia,4760715,17094130,85,0.2785
Lebanon,4755187,6082357,86,0.7818
Senegal,4698108,15850567,87,0.2964
Bulgaria,4492326,7084571,88,0.6341
Zimbabwe,4472992,16529904,89,0.2706
Slovakia,4446926,5447662,90,0.8163
New Zealand,4273353,4705818,91,0.9081
Angola,4271053,29784193,92,0.1434
Paraguay,4160340,6811297,93,0.6108
Afghanistan,4068194,35530081,94,0.1145
